代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
870005,广发资管核心精选一年持有混合A,GFZGHXJXYNCYHHA,2021-11-01,0.9675,1.4147,0.12,0.91,3.35,4.05,,,,,,-3.25,2021-06-02,1,-4.45,1.00%,1.00%,99,1.00%,99,
865040,光大阳光北斗星180天滚动A,GDYGBDX180TGDA,2021-11-01,1.6505,1.6505,-0.46,-0.52,0.88,,,,,,,-1.23,2021-08-30,1,-2.375681,0.40%,0.04%,1,0.04%,1,
862012,光大阳光香港精选混合(QDII)人民币C,GDYGXGJXHHQDIIRMBC,2021-10-29,0.8085,0.8085,-0.53,-4.85,-2.57,-11.17,-18.04,,,,,-19.15,2021-01-04,1,-16.93,,0.00%,,,,
862001,光大阳光香港精选混合(QDII)人民币A,GDYGXGJXHHQDIIRMBA,2021-10-29,1.0962,1.5218,-0.53,-4.84,-2.51,-11.03,-17.75,,,,,-16.37,2021-01-04,1,-14.099336,1.20%,0.12%,1,0.12%,1,
860063,光大阳光3个月持有(FOF)C,GDYG3GYCYFOFC,2021-10-28,0.9881,0.9881,-0.76,-0.90,-0.07,3.97,,,,,,-1.19,2021-07-22,1,-0.93,,0.00%,,,,
860058,光大阳光稳健增长混合C,GDYGWJZZHHC,2021-11-01,1.0167,1.0167,-0.31,-0.50,0.94,0.36,2.04,,,,,1.67,2021-03-04,1,0.9,,0.00%,,,,
860056,光大阳光优选一年持有混合C,GDYGYXYNCYHHC,2021-11-01,0.9671,0.9671,-1.26,-1.63,2.01,-0.09,4.26,-3.29,,,-3.29,-3.29,2020-10-14,1,-5.7700,,0.00%,,,,
860055,光大阳光优选一年持有混合B,GDYGYXYNCYHHB,2021-11-01,0.9720,0.9720,-1.24,-1.61,2.09,0.11,4.67,-2.80,,,-2.80,-2.80,2020-10-14,1,-5.3400,1.50%,0.15%,1,0.15%,1,
860053,光大阳光启明星创新驱动主题混合C,GDYGQMXCXQDZTHHC,2021-11-01,1.1460,1.2765,-1.74,-0.76,3.75,3.78,17.84,31.78,,,21.61,29.56,2020-08-18,1,23.5794,,0.00%,,,,
860052,光大阳光启明星创新驱动主题混合B,GDYGQMXCXQDZTHHB,2021-11-01,1.1527,1.2793,-1.73,-0.75,3.82,3.99,18.32,32.84,,,22.40,29.86,2020-08-18,1,24.5611,1.20%,0.12%,1,0.12%,1,
860051,光大阳光北斗星180天滚动C,GDYGBDX180TGDC,2021-11-01,1.6477,1.6477,-0.47,-0.53,0.85,,,,,,,-1.28,2021-08-30,1,-2.408484,,0.00%,,,,
860050,光大阳光稳债中短债债券C,GDYGWZZDZZQC,2021-11-01,1.0498,1.0498,0.05,0.10,0.33,0.92,2.12,3.75,,,3.45,4.44,2020-08-11,1,3.6803,,0.00%,,,,
860039,光大阳光智造混合C,GDYGZZHHC,2021-11-01,1.1003,2.1876,-1.21,-4.01,-2.87,-7.95,-11.83,3.12,,,-11.19,10.37,2020-06-30,1,4.7398,,0.00%,,,,
860038,光大阳光智造混合B,GDYGZZHHB,2021-11-01,1.1056,2.1948,-1.21,-4,-2.83,-7.85,-11.64,3.55,,,-10.90,11.01,2020-06-30,1,5.1629,1.50%,0.15%,1,0.15%,1,
860037,光大阳光混合C,GDYGHHC,2021-11-01,4.2157,4.2157,-1.91,0.08,4.75,7.05,9.98,16.11,,,8.25,34.21,2020-06-23,1,9.2846,,0.00%,,,,
860036,光大阳光混合B,GDYGHHB,2021-11-01,4.2531,4.2531,-1.91,0.10,4.82,7.27,10.43,17.05,,,8.98,35.40,2020-06-23,1,10.1605,1.50%,0.15%,1,0.15%,1,
