代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
860055,光大阳光优选一年持有混合B,GDYGYXYNCYHHB,2021-12-03,0.9721,0.9721,0.41,0.65,1.51,-1.62,2.74,-2.79,,,-2.79,-2.79,2020-10-14,1,-5.3400,1.50%,0.15%,1,0.15%,1,
860053,光大阳光启明星创新驱动主题混合C,GDYGQMXCXQDZTHHC,2021-12-03,1.1452,1.2757,1.09,1.27,1.93,0.58,13.93,28.82,,,21.53,29.46,2020-08-18,1,23.5794,,0.00%,,,,
860052,光大阳光启明星创新驱动主题混合B,GDYGQMXCXQDZTHHB,2021-12-03,1.1526,1.2792,1.08,1.28,1.99,0.77,14.38,29.84,,,22.39,29.85,2020-08-18,1,24.5611,1.20%,0.12%,1,0.12%,1,
860051,光大阳光北斗星180天滚动C,GDYGBDX180TGDC,2021-12-03,1.6551,1.6551,0.07,-0.16,0.98,-0.68,,,,,,-0.84,2021-08-30,1,-2.408484,,0.00%,,,,
860050,光大阳光稳债中短债债券C,GDYGWZZDZZQC,2021-12-03,1.0531,1.0531,-0.01,0.03,0.26,0.79,2.04,4.21,,,3.77,4.77,2020-08-11,1,3.6803,,0.00%,,,,
860039,光大阳光智造混合C,GDYGZZHHC,2021-12-03,1.0668,2.1541,-0.21,-1.68,-2.56,-7.05,-16.61,-5.47,,,-13.90,7.01,2020-06-30,1,4.7398,,0.00%,,,,
860038,光大阳光智造混合B,GDYGZZHHB,2021-12-03,1.0723,2.1615,-0.20,-1.67,-2.53,-6.96,-16.44,-5.08,,,-13.58,7.66,2020-06-30,1,5.1629,1.50%,0.15%,1,0.15%,1,
860037,光大阳光混合C,GDYGHHC,2021-12-03,4.1921,4.1921,1.22,0.43,0.94,1.95,7.40,12.23,,,7.65,33.46,2020-06-23,1,9.2846,,0.00%,,,,
860036,光大阳光混合B,GDYGHHB,2021-12-03,4.2322,4.2322,1.22,0.45,1,2.15,7.83,13.13,,,8.44,34.74,2020-06-23,1,10.1605,1.50%,0.15%,1,0.15%,1,
860035,光大阳光稳债中短债债券A,GDYGWZZDZZQA,2021-12-03,1.0558,1.3083,-0.01,0.03,0.28,0.84,2.14,4.42,,,3.97,5.03,2020-08-11,1,3.8968,0.40%,0.04%,1,0.04%,1,
860033,光大阳光稳债收益12个月持有债券C,GDYGWZSY12GYCYZQC,2021-12-03,1.0334,1.0334,-0.15,-0.15,-0.14,0.32,1.02,3.15,,,2.83,3.34,2020-08-17,1,2.7369,,0.00%,,,,
860030,光大阳光添利债券C,GDYGTLZQC,2021-12-03,2.4951,2.4951,0.10,0.01,1.44,-1.22,2.52,6.90,,,6.25,11.57,2020-06-16,1,7.9376,,0.00%,,,,
860029,光大阳光对冲6个月混合C,GDYGDC6GYHHC,2021-12-03,1.0377,1.0377,0.14,0.09,0.69,-1.91,-1.51,-0.60,,,-1.55,3.77,2020-03-25,1,-2.4854,,0.00%,,,,
